tag,leaf_m,map_pts,%full,poses,scans,APE_mean_m,APE_med_m,APE_rmse_m,APE_p95_m,APE_max_m,fit_mean,fit_med,CPUs/scan,CPU%_mean,RSS_mean_MB,RSS_peak_MB,HWM_MB,thr
full,0.0,3059991,100.0,540,540,0,0,0,0,0,1.5092,1.2405,0.705,160.1,1013.7,1167.4,1187.2,23
us0001,0.001,3058868,100.0,544,544,0.0013,0.0004,0.0022,0.0049,0.0081,1.512,1.2401,0.707,161.8,1025.6,1174.4,1212.9,23
us005,0.05,2837469,92.7,562,562,0.0018,0.0011,0.0026,0.0052,0.0097,1.5163,1.2464,0.689,163.0,1002.2,1157.4,1178.9,23
us010,0.1,2078386,67.9,630,630,0.0021,0.0017,0.0028,0.0053,0.0091,1.5211,1.2464,0.622,165.0,893.1,1025.0,1041.8,23
us020,0.2,943289,30.8,804,804,0.0031,0.003,0.0036,0.0062,0.0093,1.5302,1.2424,0.482,162.8,633.9,826.8,832.0,23
us030,0.3,493858,16.1,935,935,0.0156,0.015,0.0164,0.0249,0.036,1.5575,1.2588,0.284,111.3,590.5,642.7,642.7,23
us040,0.4,296979,9.7,935,935,0.0241,0.0233,0.025,0.0356,0.055,1.5723,1.2733,0.255,100.0,517.2,544.1,544.1,23
us050,0.5,196404,6.4,935,935,0.0315,0.0311,0.0326,0.0444,0.0703,1.5926,1.2862,0.239,93.8,484.3,504.5,504.5,23
np020,0.2,943286,30.8,768,768,0.0035,0.0032,0.0039,0.0071,0.0105,1.529,1.245,0.502,162.2,702.1,742.4,759.7,23
np030,0.3,493858,16.1,935,935,0.0143,0.0139,0.015,0.0223,0.0343,1.5602,1.2596,0.296,116.3,577.3,609.5,618.6,23
